,car_id,marke,modell,preis,kilometer
6493,e95ed34f-ec50-4db2-9ddc-0645a7ae751a,Volkswagen,Golf,12.950 €,84.500 km
6494,2c0a8436-d4cf-4879-8d2f-fd7647cf809b,Volkswagen,Golf,17.350 €,98.936 km
6495,12b99155-e689-407e-89f3-e95cb2ee9fed,Volkswagen,Beetle,15.985 €,94.500 km
6496,b8061178-2052-4340-bf77-e232e80b38b1,Volkswagen,Golf,16.430 €,88.000 km
6497,a59f3c77-553e-40c2-a468-ce9b52db3389,Volkswagen,Sharan,17.000 €,114.000 km
6498,9b63a472-719a-4f24-8464-7d9697c560a8,Volkswagen,CC,15.500 €,91.000 km
6499,36385873-99ac-4b79-93c4-128c9b882c45,Volkswagen,Golf,17.350 €,98.936 km
6500,09ee004e-dd04-45b8-bc4e-f693d4d3a3fe,Volkswagen,Caddy,15.890 €,111.418 km
6501,e7baae8b-7780-4dc8-b904-4d6704f5f687,Volkswagen,Golf,14.900 €,93.500 km
6502,a36575c9-53fe-44a2-b575-2571fd38b63c,Volkswagen,Golf,17.350 €,98.936 km
6503,db4f39c1-4752-4c95-8635-8c21936d9096,Volkswagen,Golf,10.990 €,81.576 km
6504,7cb98efb-c869-4e36-b208-b18373ae90ee,Volkswagen,Golf,26.990 €,99.980 km
6505,6cfe3343-cda7-4d8c-8fb3-812dc301db5d,BMW,420,25.980 €,76.700 km
6506,54181e0b-01b0-414d-91b0-294f369654e2,Volkswagen,Golf,16.850 €,61.400 km
6507,13b57c85-32c0-41fb-9be1-09aaeee7612a,Mercedes-Benz,GLA 220,29.879 €,84.848 km
6508,37918742-d2ff-485c-817a-9222f2f7fc3b,BMW,530,21.990 €,91.812 km
6509,82ed5b18-a3ec-45da-bcca-66e12fb98203,Audi,A3,16.490 €,85.051 km
6510,c89bbd8f-4d91-4083-b321-f9fda7599821,Volkswagen,CC,15.500 €,91.000 km
6511,e8839fdf-26c2-4027-ac38-a380cdb572dd,Volkswagen,T5 Transporter,21.900 €,80.500 km
6512,0eefa04c-d24d-4786-8114-831e99ede41f,Volkswagen,Golf,26.990 €,99.980 km
6513,5de01e2d-847f-4556-8c09-4e6d12a24660,Mercedes-Benz,GLA 220,29.879 €,84.848 km
6514,43235d97-0a77-4bab-8db7-6a51ac427f78,BMW,530,21.990 €,91.812 km
6515,ee9b8b2d-00d1-49b6-bfd6-09ecfe9cc389,Audi,A3,29.569 €,2.787 km
6516,4c778417-7c82-4a1f-9dbc-a0918a8f6ff8,Volkswagen,Caddy,15.890 €,111.418 km
6517,0d30ce82-e84d-49b9-8548-f0a7919a424b,Volkswagen,Golf,17.350 €,98.936 km
6518,d7d7e372-60ab-47ff-a8ba-ba3d6e12dd81,Volkswagen,Passat Variant,15.000 €,100.000 km
6519,3216d450-24fa-44bb-8778-716e13dc16fd,Volkswagen,Beetle,15.985 €,94.500 km
6520,cea611c1-3948-49bc-8d74-d889ae4a3821,Volkswagen,CC,15.500 €,91.000 km
6521,73105197-f353-4f11-9fe5-4bb20907b3e5,Volkswagen,Beetle,15.985 €,94.500 km
6522,d2f8c3ed-ed58-4d04-85b4-eeef8f607dc2,Volkswagen,Golf,18.790 €,98.000 km
6523,afa0e6f8-55eb-4ab5-a1f5-600c55017fa3,Volkswagen,T5 Transporter,21.900 €,80.500 km
6524,54539aad-c541-424d-b0f4-c031673fd9df,Audi,A3,16.490 €,85.051 km
6525,fc854885-d3c4-4d0f-bf06-4cec8e47ec86,Volkswagen,Golf,12.950 €,84.500 km
6526,9c5bae36-8a85-4e64-bcbf-79bda4a18a51,Volkswagen,Golf,26.990 €,99.980 km
6527,05a5918f-2aad-4228-ae8b-5e22d7fd9937,,,,
6528,e77a5127-8e90-4da1-ae2c-a37273c6c63d,Volkswagen,Caddy,15.890 €,111.418 km
6529,2a6b495d-34c9-48d7-9e2f-6bb4d59d3c4b,Volkswagen,Golf,14.900 €,93.500 km
6530,23f072b2-f36d-456c-abbb-43d6f0314f70,Volkswagen,Sharan,17.000 €,114.000 km
6531,2d1bfd09-4d71-4299-b879-47c7165c6adc,Volkswagen,CC,15.500 €,91.000 km
6532,8aa25ba9-09b9-42cc-bc50-f72ed9f071fd,Volkswagen,Golf,12.950 €,84.500 km
6533,c12c575a-7c9f-4abc-91dc-4adee78301d8,Volkswagen,CC,15.500 €,91.000 km
6534,3df7ab03-5402-444f-bc9e-b3040752a706,,,,
6535,b7654219-493e-4f52-9044-89d2bb2e064b,Mercedes-Benz,Sprinter,18.990 €,105.000 km
6536,60baf2a4-e962-457f-b656-491546b0d001,BMW,530,21.990 €,91.812 km
6537,e779d300-8d8d-4cbd-b682-214860844760,BMW,320,14.749 €,94.505 km
6538,220b2cc8-14a9-4343-ad5d-ba1535472106,BMW,530,21.990 €,91.812 km
6539,dc2c82ab-d6da-44b5-bf60-ac640504d5e6,Volkswagen,Golf,10.990 €,81.576 km
6540,8c48c537-815e-435e-afae-230bb08c75ea,Audi,A3,16.490 €,85.051 km
6541,065bf01f-74ac-4e85-afc8-8d90bf87a077,Volkswagen,Golf,16.490 €,103.000 km
6542,5b823136-427b-456d-9c79-194dd9d61b0b,Volkswagen,Golf,12.950 €,84.500 km
6543,45581d87-778c-4a7d-89c0-5d718e49a173,Volkswagen,Golf,17.980 €,92.420 km
6544,b28df74a-45d9-4faf-8bfc-45e60bc5d02a,Volkswagen,Golf,14.900 €,93.500 km
6545,737f113e-a756-4d13-ae36-b8a041e3a027,Volkswagen,T5 Transporter,14.900 €,88.783 km
6546,2c416eb6-cdd3-4fd5-b279-3c8456f9be65,Mercedes-Benz,GLA 220,29.879 €,84.848 km
6547,5d97a726-cf9e-4779-a86b-b25659423048,Audi,A4,17.990 €,96.500 km
6548,f6d406f5-7a82-4688-b78c-199900d5b618,Volkswagen,Golf,12.950 €,84.500 km
6549,63ce6aa8-1f94-4a39-924c-30e4444c0dab,Volkswagen,Golf,17.980 €,92.420 km
6550,b704780d-49f1-4c09-a101-124cdbe07a49,Volkswagen,Golf,12.950 €,84.500 km
6551,9286130d-fe41-4325-8014-4d08341d9c7b,BMW,530,21.990 €,91.812 km
6552,b1bc7388-f9c3-4f47-b0a8-707373c76bbe,Volkswagen,Golf,16.430 €,88.000 km
6553,7a553439-1a40-42ce-9112-f3e905d4dfe0,Volkswagen,Passat Variant,15.000 €,100.000 km
6554,730985fb-a13a-489d-88b1-b63fa1692236,BMW,530,21.990 €,91.812 km
6555,90436b23-ae6a-40d1-95c0-ae5c54f06b07,Volkswagen,Golf,26.990 €,99.980 km
6556,8c6ad148-0281-4bd5-ac32-b56e5ad10eb8,Volkswagen,CC,15.500 €,91.000 km
6557,a3f0c7f3-20e9-49d1-a18e-df6988ef5e80,Volkswagen,Golf,17.350 €,98.936 km
6558,a8a382c2-6ed9-4429-a107-7a1b767bb26c,Volkswagen,Golf,15.990 €,66.750 km
6559,a65c3f0a-d664-418f-8431-f0ef95146811,Volkswagen,Passat Variant,15.000 €,100.000 km
6560,15f3edc9-aa82-43f2-8bc6-732449eb5cd0,Volkswagen,CC,15.500 €,91.000 km
6561,3c40be16-e17e-42e7-b815-d38db2986f2f,Volkswagen,Caddy,15.890 €,111.418 km
6562,957ad5b1-fce3-4a65-97e8-4a11b9cc3eec,Volkswagen,Golf,12.950 €,84.500 km
6563,c68cf2b4-8c24-4ae8-b345-3c295a2c5762,Volkswagen,Caddy,15.890 €,111.418 km
6564,2e979c53-4897-4670-8ed5-e5f35a9df10d,Volkswagen,Golf,10.990 €,81.576 km
6565,c4e8c65a-780a-4c61-ac8d-e35bbb40058b,Volkswagen,Golf,16.430 €,88.000 km
6566,89bce2b8-8906-4368-9894-700f75416198,Volkswagen,Golf,16.490 €,103.000 km
6567,7d210058-b4db-4883-abfb-a65d1dbf84ff,Audi,A3,16.490 €,85.051 km
6568,8706df10-8163-4615-b088-54adba5f8f6e,Volkswagen,Beetle,15.985 €,94.500 km
6569,06f77435-ab63-4cad-ba7d-1aa2cf6b315b,Volkswagen,Beetle,15.985 €,94.500 km
6570,3a639def-5299-4832-8308-409f1553cd0f,Volkswagen,Beetle,15.985 €,94.500 km
6571,e81563a0-13f2-4339-811a-87cfa900afe9,Volkswagen,Golf,17.350 €,98.936 km
6572,1dc60efe-ff37-4cdf-be17-467ab2d1e6e8,BMW,320,14.749 €,94.505 km
6573,a881df56-bb7c-4ed0-b1b6-aef7249654cd,Volkswagen,Passat Variant,15.000 €,100.000 km
6574,d7328c74-6158-431a-8e20-e43f5badd93a,Volkswagen,Golf,18.999 €,100.197 km
6575,aa9fe491-1f3a-427f-a2dd-ed2af16acfee,Volkswagen,Golf,10.990 €,81.576 km
6576,6802e0c8-f67e-4bd6-95c9-5304dcf44d4c,Volkswagen,Caddy,15.890 €,111.418 km
6577,1cdca9ed-7e48-4fcb-b376-46515ac327d1,Audi,A3,16.490 €,85.051 km
6578,c2e96382-543d-44b7-9a6c-7268fd2b50ad,Volkswagen,Passat Variant,15.000 €,100.000 km
6579,9f170a56-e848-4ae7-a17b-39d00e6db9b3,Volkswagen,Golf,26.990 €,99.980 km
6580,62bdad32-8052-42b5-a513-d872f7747733,Volkswagen,CC,15.500 €,91.000 km
6581,a14eb03e-f49b-49de-aa86-286224bc8013,Volkswagen,Golf,16.430 €,88.000 km
6582,a342f9e0-69fb-4cca-9e34-cfa41144dc5d,Audi,A3,41.180 €,10.100 km
6583,d6ac209f-c1d0-4173-9483-f28c7e2ea71c,Audi,A4,17.990 €,96.500 km
6584,e65eecae-7823-43fb-b99b-abe8f814c367,Volkswagen,Beetle,15.985 €,94.500 km
