,car_id,erstzulassung,kraftstoffart,getriebe,leistung,hubraum,farbe
2382,8bd17d19-c53e-4610-b0b3-79531e6b5e06,04/2010,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Braun Metallic
2383,815427e5-26dd-4c68-8bd5-8548e122fe9a,04/2017,Diesel,Automatik,130 kW (177 PS),2.143 cm³,Schwarz Metallic
2384,2b4f0194-bb86-45c4-bee3-0a1a05de8094,07/2013,Benzin,Schaltgetriebe,90 kW (122 PS),1.390 cm³,Grau Metallic
2385,303d0b9c-35b2-4e87-8ab8-0ea908652bf3,01/2011,Diesel,Schaltgetriebe,81 kW (110 PS),1.968 cm³,Schwarz Metallic
2386,cbb95f39-8954-448b-ba3e-74bb7d02b461,06/2013,Benzin,Automatik,225 kW (306 PS),3.498 cm³,Schwarz Metallic
2387,123ce0ae-669d-4869-b007-209021ab0c39,04/2010,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Braun Metallic
2388,11e3be7f-28a1-4831-b911-2a2edd029063,02/2016,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Grau Metallic
2389,8406b5dc-663b-407c-832c-0c47d224d497,11/2014,Benzin,Schaltgetriebe,110 kW (150 PS),1.395 cm³,Schwarz Metallic
2390,ef20b788-9531-4fde-82ac-0e2fa9afedcb,03/2013,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Schwarz Metallic
2391,0719c420-06ef-4cf5-86e6-6d4a67f8397a,11/2014,Benzin,Schaltgetriebe,110 kW (150 PS),1.395 cm³,Schwarz Metallic
2392,d0bf8e37-78e9-48ad-9ee9-42b04e556da1,04/2010,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Braun Metallic
2393,00b82913-a90e-4deb-b236-8a738d20984e,02/2015,Benzin,Automatik,221 kW (300 PS),1.984 cm³,Blau Metallic
2394,1f9f2f46-ef80-4833-a533-c215d3ca4f0b,04/2010,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Braun Metallic
2395,2820acaf-3b65-4d2e-8002-d99542153379,04/2010,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Braun Metallic
2396,0807ca43-343e-4be6-b1ed-fd20b9435c8c,06/2012,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Silber Metallic
2397,d2ce81d3-a770-48f0-b8c5-6997f7046cd2,06/2012,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Silber Metallic
2398,93ddc1e4-aaa2-4a2c-9ac4-10959bb20af0,02/2018,Benzin,Schaltgetriebe,110 kW (150 PS),1.498 cm³,Grau
2399,e0cbae93-05c3-408f-b7e0-387a132dc9ab,02/2014,Benzin,Schaltgetriebe,162 kW (220 PS),1.984 cm³,Weiß Metallic
2400,3bf65cf0-ab32-4e0a-909a-5fe02885504b,06/2012,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Silber Metallic
2401,cd94f2eb-aaa6-492f-863f-c58c81b7a94e,01/2013,Diesel,Automatik,185 kW (252 PS),2.987 cm³,Silber Metallic
2402,dcbd76f3-7611-466b-a972-deebcae13197,02/2014,Benzin,Schaltgetriebe,162 kW (220 PS),1.984 cm³,Weiß Metallic
2403,481003df-86c1-4373-9d99-f92ba840872a,04/2017,Diesel,Automatik,130 kW (177 PS),2.143 cm³,Schwarz Metallic
2404,2a4a9b9e-057c-4564-8694-9033c518e348,01/2011,Diesel,Schaltgetriebe,81 kW (110 PS),1.968 cm³,Schwarz Metallic
2405,72badb12-5d36-46aa-b6e1-90555c2a55d3,04/2017,Diesel,Automatik,130 kW (177 PS),2.143 cm³,Schwarz Metallic
2406,9bd43ea6-8031-4f03-96bb-51ee5ff785d7,07/2013,Benzin,Schaltgetriebe,90 kW (122 PS),1.390 cm³,Grau Metallic
2407,4a86797e-2cb6-441a-aa66-9d16192d5ef9,03/2013,Benzin,Schaltgetriebe,118 kW (160 PS),1.390 cm³,Weiß
2408,9b670e9a-8a8c-4ba9-b290-65f9e97dfe60,04/2016,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Weiß
2409,8fc01a01-800e-4ef4-a295-de527ef4b8cb,09/2013,Benzin,Automatik,90 kW (122 PS),1.395 cm³,Blau Metallic
2410,4ff19aac-d5d5-49ae-b6a5-a54bd2ac4711,08/2010,Benzin,Schaltgetriebe,199 kW (271 PS),1.984 cm³,Schwarz Metallic
2411,111f0ea9-c06b-447d-924c-02731d232bcd,10/2013,Benzin,Automatik,103 kW (140 PS),1.395 cm³,Silber Metallic
2412,e0b616b5-6eb3-4dcf-9b89-69087179ecfd,06/2012,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Silber Metallic
2413,5a5c8783-7cab-4876-8b6e-a043dca97d93,11/2019,"Benzin, E10-geeignet",Automatik,141 kW (192 PS),1.998 cm³,Schwarz Metallic
2414,2365a080-cb4e-43dc-8f42-8d62c4c05213,04/2010,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Braun Metallic
2415,81b0a8d2-77dd-4ed7-a9ca-ab01bbd524fc,07/1995,Diesel,Automatik,114 kW (155 PS),6.463 cm³,
2416,7172441e-df46-4c8e-ba6c-72acef31dba4,03/2012,Diesel,Automatik,190 kW (258 PS),2.993 cm³,Blau Metallic
2417,acfc18e1-877c-4a9a-afc4-682e44d7f5a5,11/2018,"Benzin, E10-geeignet",Automatik,185 kW (252 PS),1.984 cm³,Schwarz Metallic
2418,a4a973c8-af3f-45db-a459-ef4f93f07d84,09/2013,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Weiß
2419,74452fd6-015b-4f32-ae9d-95ebece8bef7,03/2012,Diesel,Automatik,190 kW (258 PS),2.993 cm³,Blau Metallic
2420,7ca86946-916a-4d9a-a891-7d387414b07f,03/2012,Diesel,Automatik,190 kW (258 PS),2.993 cm³,Blau Metallic
2421,e63d6b28-ab21-4857-ac18-d386e0145dcd,02/2016,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Grau Metallic
2422,0a82bcb1-88c4-4ce1-9a01-d923b54ee5ad,04/2016,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Weiß
